Naam
Geboren
Opnamedatum,2023-06-28 13:03:46 +0200
Classificatie,Sinusritme
Symptomen,
Softwareversie,1.90
Apparaat,"Watch4,2"
Meetfrequentie,511,844 hertz


Afleiding,Afleiding I
Eenheid,µV

24,307
29,48
33,004
34,837
34,973
33,452
30,387
25,934
20,248
13,503
5,874
-2,435
-11,177
-20,107
-29,003
-37,685
-46,016
-53,885
-61,184
-67,824
-73,759
-78,973
-83,5
-87,416
-90,776
-93,628
-96,038
-98,079
-99,892
-101,666
-103,547
-105,626
-107,945
-110,532
-113,526
-117,113
-121,3
-125,926
-130,724
-135,389
-139,901
-144,339
-148,385
-151,739
-154,399
-156,386
-158,235
-159,903
-159,793
-157,613
-154,242
-151,698
-154,112
-160,919
-167,023
-167,237
-155
-130,19
-99,698
-69,031
-43,627
-25,167
-9,417
7,026
24,819
42,922
57,452
63,239
61,029
55,595
52,217
58,184
73,77
92,645
109,541
118,639
119,159
115,975
112,132
109,857
109,687
109,638
109,11
108,425
107,692
107,368
107,525
107,862
108,345
109,051
109,931
110,933
112,024
113,14
114,273
115,431
116,549
117,558
118,409
119,049
119,45
119,597
119,471
119,068
118,403
117,488
116,339
114,979
113,423
111,694
109,819
107,825
105,75
103,62
101,456
99,278
97,102
94,936
92,789
90,662
88,548
86,446
84,35
82,258
80,168
78,079
75,987
73,892
71,792
69,688
67,583
65,481
63,384
61,298
59,225
57,167
55,131
53,123
51,153
49,234
47,372
45,571
43,836
42,165
40,553
38,987
37,446
35,906
34,354
32,785
31,198
29,609
28,028
26,469
24,95
23,476
22,053
20,694
19,402
18,186
17,071
16,087
15,288
14,737
14,468
14,499
14,834
15,441
16,288
17,328
18,488
19,716
20,968
22,2
23,386
24,501
25,493
26,311
26,876
27,095
26,908
26,279
25,181
23,635
21,673
19,352
16,766
13,996
11,102
8,141
5,145
2,143
-0,817
-3,686
-6,407
-8,904
-11,121
-13,021
-14,565
-15,751
-16,595
-17,127
-17,415
-17,517
-17,476
-17,326
-17,087
-16,771
-16,398
-15,988
-15,565
-15,158
-14,781
-14,45
-14,186
-14,002
-13,925
-13,956
-14,062
-14,253
-14,578
-15,072
-15,783
-16,721
-17,832
-19,106
-20,611
-22,262
-23,807
-25,182
-26,427
-27,495
-28,627
-29,314
-28,105
-25,338
-22,288
-21,17
-26,076
-36,623
-48,769
-58,445
-59,899
-53,044
-43,43
-35,347
-33,472
-38,524
-46,487
-54,981
-62,33
-68,113
-73,998
-80,658
-87,994
-96,029
-104,444
-113,073
-121,952
-130,849
-139,43
-147,468
-154,661
-160,628
-165,067
-167,725
-168,511
-167,629
-165,241
-161,342
-156,129
-149,887
-142,465
-133,464
-122,326
-108,011
-90,68
-71,782
-51,013
-27,628
-0,36
33,562
71,486
106,974
134,187
146,031
141,948
127,764
108,482
90,135
75,24
61,549
47,993
33,783
19,111
5,862
-5,28
-14,739
-23,33
-32,054
-41,353
-51,185
-61,361
-71,616
-81,652
-91,047
-99,319
-106,196
-111,585
-115,51
-118,113
-119,517
-119,853
-119,319
-118,099
-116,311
-114,037
-111,336
-108,277
-104,984
-101,617
-98,313
-95,182
-92,291
-89,68
-87,38
-85,406
-83,749
-82,377
-81,234
-80,272
-79,466
-78,802
-78,259
-77,804
-77,372
-76,873
-76,249
-75,466
-74,506
-73,365
-72,032
-70,481
-68,722
-66,809
-64,762
-62,557
-60,178
-57,595
-54,825
-51,962
-49,062
-46,094
-43,165
-40,555
-38,335
-36,446
-34,932
-33,526
-32,743
-34,168
-37,441
-41,095
-42,706
-37,728
-26,457
-13,432
-3,184
-2,15
-10,695
-22,714
-33,488
-37,909
-35,1
-29,603
-24,197
-20,782
-19,915
-19,722
-19,35
-18,845
-18,129
-17,469
-16,918
-16,214
-15,267
-14,109
-12,723
-11,089
-9,21
-7,09
-4,747
-2,223
0,471
3,353
6,426
9,682
13,115
16,715
20,471
24,376
28,419
32,581
36,843
41,186
45,592
50,038
54,504
58,967
63,403
67,789
72,1
76,312
80,401
84,342
88,11
91,683
95,036
98,146
100,993
103,554
105,81
107,743
109,337
110,576
111,448
111,942
112,049
111,761
111,076
109,99
108,504
106,62
104,343
101,681
98,641
95,234
91,474
87,375
82,952
78,223
73,207
67,923
62,391
56,635
50,676
44,538
38,245
31,821
25,292
18,683
12,02
5,327
-1,37
-8,046
-14,677
-21,24
-27,714
-34,076
-40,308
-46,39
-52,308
-58,044
-63,587
-68,925
-74,047
-78,946
-83,615
-88,049
-92,244
-96,199
-99,911
-103,383
-106,615
-109,609
-112,37
-114,902
-117,211
-119,303
-121,186
-122,868
-124,359
-125,669
-126,808
-127,788
-128,621
-129,32
-129,897
-130,364
-130,734
-131,019
-131,232
-131,383
-131,483
-131,543
-131,573
-131,581
-131,575
-131,564
-131,553
-131,55
-131,559
-131,585
-131,633
-131,707
-131,811
-131,948
-132,121
-132,332
-132,585
-132,88
-133,219
-133,603
-134,032
-134,506
-135,024
-135,584
-136,186
-136,827
-137,504
-138,215
-138,957
-139,728
-140,524
-141,343
-142,182
-143,038
-143,909
-144,792
-145,687
-146,59
-147,501
-148,418
-149,34
-150,266
-151,195
-152,126
-153,057
-153,987
-154,914
-155,836
-156,752
-157,66
-158,558
-159,444
-160,317
-161,174
-162,014
-162,837
-163,639
-164,421
-165,181
-165,917
-166,628
-167,313
-167,971
-168,599
-169,196
-169,761
-170,292
-170,786
-171,242
-171,656
-172,026
-172,349
-172,622
-172,842
-173,005
-173,11
-173,153
-173,132
-173,046
-172,891
-172,667
-172,372
-172,004
-171,564
-171,048
-170,457
-169,791
-169,048
-168,228
-167,333
-166,361
-165,314
-164,193
-162,999
-161,733
-160,398
-158,996
-157,528
-155,999
-154,413
-152,771
-151,081
-149,345
-147,571
-145,762
-143,925
-142,067
-140,192
-138,308
-136,42
-134,534
-132,657
-130,794
-128,952
-127,136
-125,353
-123,609
-121,909
-120,26
-118,667
-117,136
-115,672
-114,279
-112,963
-111,727
-110,576
-109,512
-108,539
-107,659
-106,874
-106,186
-105,596
-105,103
-104,706
-104,405
-104,199
-104,084
-104,058
-104,118
-104,261
-104,483
-104,78
-105,147
-105,58
-106,074
-106,623
-107,222
-107,864
-108,544
-109,254
-109,988
-110,738
-111,497
-112,258
-113,013
-113,754
-114,475
-115,167
-115,824
-116,439
-117,005
-117,517
-117,968
-118,353
-118,666
-118,904
-119,062
-119,136
-119,123
-119,019
-118,823
-118,532
-118,145
-117,66
-117,076
-116,394
-115,614
-114,736
-113,761
-112,692
-111,529
-110,277
-108,938
-107,517
-106,02
-104,452
-102,819
-101,129
-99,389
-97,605
-95,785
-93,937
-92,069
-90,189
-88,303
-86,422
-84,553
-82,708
-80,897
-79,13
-77,416
-75,765
-74,187
-72,69
-71,283
-69,971
-68,759
-67,652
-66,657
-65,78
-65,029
-64,408
-63,922
-63,576
-63,373
-63,318
-63,413
-63,658
-64,048
-64,577
-65,245
-66,055
-67,015
-68,125
-69,378
-70,763
-72,27
-73,887
-75,604
-77,399
-79,235
-81,07
-82,869
-84,603
-86,259
-87,828
-89,292
-90,624
-91,796
-92,79
-93,614
-94,295
-94,845
-95,267
-95,547
-95,686
-95,747
-95,831
-96,047
-96,474
-97,119
-97,943
-98,971
-100,303
-101,983
-103,928
-105,845
-107,368
-108,341
-108,82
-108,891
-108,462
-107,358
-105,564
-103,52
-101,856
-100,892
-100,599
-100,617
-100,516
-99,876
-98,086
-93,946
-87,035
-78,098
-67,136
-53,878
-35,606
-7,827
29,557
71,847
109,767
132,554
136,031
124,037
105,542
89,774
80,784
77,003
73,942
68,414
60,274
50,855
41,987
34,319
27,163
20,112
13,042
5,916
-1,183
-8,203
-15,095
-21,548
-27,042
-31,333
-34,408
-36,305
-37,133
-36,943
-35,769
-33,775
-31,236
-28,397
-25,428
-22,422
-19,403
-16,417
-13,548
-10,883
-8,506
-6,46
-4,752
-3,384
-2,356
-1,659
-1,262
-1,096
-1,057
-1,038
-0,968
-0,808
-0,54
-0,148
0,388
1,095
1,991
3,079
4,357
5,825
7,483
9,332
11,357
13,529
15,804
18,138
20,498
22,867
25,233
27,587
29,921
32,23
34,515
36,78
39,03
41,262
43,474
45,661
47,823
49,963
52,09
54,211
56,331
58,456
60,591
62,741
64,91
67,1
69,313
71,548
73,805
76,088
78,4
80,746
83,13
85,554
88,024
90,544
93,116
95,744
98,429
101,172
103,974
106,834
109,754
112,732
115,769
118,864
122,015
125,223
128,485
131,798
135,162
138,571
142,022
145,51
149,03
152,574
156,138
159,713
163,292
166,867
170,43
173,971
177,481
180,949
184,365
187,717
190,993
194,183
197,274
200,255
203,115
205,843
208,428
210,861
213,132
215,231
217,149
218,877
220,407
221,729
222,837
223,723
224,381
224,805
224,992
224,936
224,635
224,088
223,294
222,251
220,962
219,428
217,652
215,637
213,39
210,916
208,222
205,316
202,209
198,909
195,427
